,product_name,price,varietal,rating,rating_count,appellation,region,year
1912,Mount Eden Vineyards Estate Chardonnay ,129,Chardonnay,0.0,0.0,[' Burgundy'], France,2016
1913,Olivier Bernstein Clos Vougeot Grand Cru,629,Pinot Noir,0.0,0.0,[' Bordeaux'], France,2017
1914,Croix de Labrie ,89,Bordeaux Red Blends,0.0,0.0,['Victoria'], Australia,2019
1915,Bindi Wines Kostas Rind Chardonnay,71,Chardonnay,0.0,0.0,['Napa Valley'], California,2018
1916,Accendo Cellars Cabernet Sauvignon,359,Cabernet Sauvignon,0.0,0.0,[' South Australia'], Australia,2016
1917,d'Arenberg The Dead Arm Shiraz,74,Syrah/Shiraz,0.0,0.0,[' Rhone'], France,1997
1919,Pegaso Cebreros Garnacha Arrebatacapas,84,Grenache,0.0,0.0,[' Columbia Valley'], Washington,2016
1920,Cayuse Widowmaker Cabernet Sauvignon,189,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2013
1922,Yalumba The Octavius Old Vine Shiraz,135,Syrah/Shiraz,0.0,0.0,[' Bordeaux'], France,2014
1923,Chateau Beychevelle ,199,Bordeaux Red Blends,0.0,0.0,['Tuscany'], Italy,2018
1924,Masseto ,1899,Merlot,0.0,0.0,['Champagne'], France,2017
1926,Donelan Cuvee Christine Syrah,57,Syrah/Shiraz,0.0,0.0,[' Napa Valley'], California,2014
